state,count,mean,std,min,25%,50%,75%,max
US-AZ,460.0,-25.123998138914303,38.08970804932811,-100.0,-50.0,-23.61111111111111,0.0,100.0
US-GA,460.0,22.44880303028908,47.98895038757735,-100.0,0.0,20.0,50.0,200.0
US-MI,460.0,19.070917444549785,53.58636386273445,-100.0,0.0,14.835164835164836,41.666666666666664,250.0
US-NC,460.0,20.211021734279235,48.47979917463852,-100.0,0.0,14.285714285714286,37.5,300.0
US-NV,460.0,-29.665681892434534,59.06126795203766,-100.0,-100.0,0.0,0.0,233.33333333333334
US-PA,460.0,13.967430229186032,38.8299301950024,-100.0,0.0,0.0,33.333333333333336,166.66666666666666
US-WI,460.0,3.4108198806780625,60.9494171135348,-100.0,0.0,0.0,33.333333333333336,300.0
