"date","hits","keyword","geo","time","gprop","category","state"
2024-09-02,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-03,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-04,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-05,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-06,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-07,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-08,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-09,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-10,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-11,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-12,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-13,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-14,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-15,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-16,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-17,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-18,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-19,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-20,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-21,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-22,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-23,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-24,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-25,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-26,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-27,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-28,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-29,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-30,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-01,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-02,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-03,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-04,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-05,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-06,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-07,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-08,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-09,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-10,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-11,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-12,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-13,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-14,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-15,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-16,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-17,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-18,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-19,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-20,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-21,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-22,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-23,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-24,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-25,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-26,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-27,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-28,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-29,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-30,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-10-31,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-01,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-02,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-03,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-04,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-05,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-06,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-07,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-08,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-09,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-10,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-11,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-12,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-13,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-14,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-15,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-16,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-17,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-18,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-19,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-20,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-21,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-22,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-23,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-24,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-25,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-26,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-27,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-28,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-29,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-11-30,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-12-01,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-12-02,0,"migrant crime","US-WI","today 3-m","web",0,"US-WI"
2024-09-02,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-03,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-04,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-05,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-06,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-07,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-08,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-09,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-10,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-11,25,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-12,7,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-13,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-14,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-15,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-16,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-17,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-18,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-19,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-20,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-21,7,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-22,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-23,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-24,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-25,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-26,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-27,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-28,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-29,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-30,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-01,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-02,7,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-03,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-04,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-05,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-06,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-07,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-08,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-09,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-10,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-11,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-12,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-13,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-14,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-15,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-16,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-17,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-18,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-19,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-20,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-21,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-22,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-23,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-24,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-25,0,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-26,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-27,7,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-28,8,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-29,8,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-30,7,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-10-31,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-01,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-02,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-03,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-04,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-05,11,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-06,80,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-07,67,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-08,37,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-09,25,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-10,17,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-11,18,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-12,14,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-13,12,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-14,9,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-15,7,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-16,6,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-17,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-18,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-19,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-20,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-21,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-22,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-23,5,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-24,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-25,4,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-26,3,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-27,2,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-28,2,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-29,2,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-11-30,2,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-12-01,2,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-12-02,2,"Project 2025","US-WI","today 3-m","web",0,"US-WI"
2024-09-02,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-03,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-04,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-05,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-06,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-07,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-08,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-09,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-10,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-11,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-12,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-13,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-14,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-15,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-16,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-17,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-18,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-19,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-20,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-21,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-22,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-23,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-24,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-25,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-26,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-27,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-28,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-29,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-09-30,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-01,7,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-02,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-03,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-04,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-05,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-06,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-07,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-08,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-09,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-10,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-11,0,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-12,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-13,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-14,3,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-15,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-16,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-17,5,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-18,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-19,4,"transgender","US-WI","today 3-m","web",0,"US-WI"
2024-10-20,6,"transgender","US-WI","today 3-m","web",0,"US-WI"
